state,district,pincode,audit_status,total_txns,risk_reason,severity_score
West Bengal,24 Paraganas North,743262,HIGH RISK - Action Required,111.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.026328937575968436
West Bengal,24 Paraganas North,700124,HIGH RISK - Action Required,135.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.026201042450028078
Delhi,North Delhi,110039,HIGH RISK - Action Required,695.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.026096127714266615
Karnataka,Bengaluru Rural,560049,HIGH RISK - Action Required,762.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.026096127714266615
Karnataka,Bengaluru Urban,560091,HIGH RISK - Action Required,792.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.026096127714266615
Punjab,S.A.S Nagar,140301,HIGH RISK - Action Required,705.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.026096127714266615
Andhra Pradesh,Spsr Nellore,524315,HIGH RISK - Action Required,217.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.02548734510293671
Andhra Pradesh,Visakhapatanam,531029,HIGH RISK - Action Required,226.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.02548734510293671
Delhi,North Delhi,110040,HIGH RISK - Action Required,804.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.02507844526195102
Karnataka,Bengaluru Rural,560087,HIGH RISK - Action Required,610.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.021361897083325476
Delhi,New Delhi,110057,HIGH RISK - Action Required,100.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.020746961087847793
West Bengal,24 Paraganas North,700056,HIGH RISK - Action Required,98.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.020746961087847793
West Bengal,24 Paraganas North,743245,HIGH RISK - Action Required,100.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.020746961087847793
Gujarat,Banas Kantha,385135,HIGH RISK - Action Required,361.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.02070783749177396
Assam,Cachar,782448,HIGH RISK - Action Required,534.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.020350616529910437
Gujarat,Banas Kantha,385560,HIGH RISK - Action Required,130.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.02034635271702734
West Bengal,Dinajpur Uttar,733129,HIGH RISK - Action Required,786.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.019936644878979393
Karnataka,Bengaluru Urban,560061,HIGH RISK - Action Required,572.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.01984548918573259
Karnataka,Bengaluru Urban,560062,HIGH RISK - Action Required,576.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.01984548918573259
Uttar Pradesh,Aligarh,262907,HIGH RISK - Action Required,517.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.01984548918573259
Chhattisgarh,Gaurella Pendra Marwahi,495118,HIGH RISK - Action Required,188.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.018398141726413075
